Reference_GAVIA,ReferenceID,Reference_Full,
"{Conant, 1980 #543}",543,"Conant, S. (1980). Birds of the Kalapana Extension. In C. W. Smith (Ed.). Honolulu: University of Hawaii at Manoa.",
"{Connor, 1972 #745}",745,"Connor, M. A. (1972). House Sparrows and Chaffinches. Cape Bird Club Newsletter, 101, 2. ",
"{Connor, 1985 #698}",698,"Connor, H. A., & Loftin, R. W. (1985). Florida field naturalist. Florida Ornithological Society, 14(4), 77-104. ",
"{Corlett, 2010 #155}",155,"Corlett, R. T. (2010). Invasive aliens on tropical East Asian islands. Biodiversity and Conservation, 19, 411-423. ",
"{Costa, 1997 #451}",451,"Costa, H., Elias, G. L., & Farinha, J. C. (1997). Exotic birds in Portugal. British Birds, 90, 562-568. ",
"{Courtenay-Latimer, 1955 #477}",477,"Courtenay-Latimer, M. (1955). The English Sparrow at East London. Bokmakierie, 7, 32. ",
"{Crawley, 1986 #761}",761,"Crawley, M. J., Kornberg, H., Lawton, J. H., Usher, M. B., Southwood, R., O'Connor, J., & Gibbs, A. (1986). The population biology of invaders [and discussion]. Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences, 314(1167), 711-731. ",
"{Cruz, 1985 #699}",699,"Cruz, A., Manolis, T., & Wiley, J. W. (1985). The shiny cowbird: a brood parasite expanding its range in the Caribbean region. Ornithological Monographs, 36, 607-620. ",
"{Cunningham-van Someren, 1969 #485}",485,"Cunningham-van Someren, G. R. (1969). Escapes of Psittacula krameri and Agapornis spp. breeding in Kenya. Bulletin of the British Ornithological Club, 89, 137-139. ",
"{Cunningham-van Someren, 1975 #358}",358,"Cunningham-van Someren, G. R. (1975). Agapornis fischeri Reichenow in Kenya? The Auk, 92(2), 370-371. ",
"{Da Silvaxs, 1990 #811}",811,"Da Silvaxs, J. M. C., & Oren, D. C. (1990). Introduced and Invading Birds in Belém, Brazil. The Wilson Bulletin, 102(2), 309-313. ",
"{DAISIE, 2003 #398}",398,"DAISIE. (2003). European Invasive Alien Species Gateway  Retrieved 15.04.11, from http://www.europe-aliens.org",
"{Darrieu, 2001 #317}",317,"Darrieu, C. A., & Camperi, A. R. (2001). Nueva Lista Sistematica de las Aves de la Provincia de Buenos Aires. In H. L. López, J. V. Crisci & J. A. Schnack (Eds.), (Vol. 2). La Plata, Argentina: Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata.",
"{Davis, 1960 #852}",852,"Davis, D. E. (1960). Comments on the Migration of Starlings in Eastern United States. Bird-Banding, 31(4), 216-219. ",
"{Dean, 2000 #375}",375,"Dean, W. R. J. (2000). Alien birds in southern Africa: what factors determine success? South African Journal of Science, 96, 9-14. ",
"{del Hoyo, 1992 #243}",243,"del Hoyo, J., Elliott, A., & Sargatal, J. (Eds.). (1992). Handbook of the Birds of the World: Vol I, Ostrich to Ducks (Vol. 1). Barcelona: Lynx Edicions.",
"{del Hoyo, 1994 #239}",239,"del Hoyo, J., Elliott, A., & Sargatal, J. (Eds.). (1994). Handbook of the Birds of the World: Vol II, New World Vultures to Guineafowl (Vol. 2). Barcelona: Lynx Edicions.",
"{del Hoyo, 1996 #234}",234,"del Hoyo, J., Elliott, A., & Sargatal, J. (Eds.). (1996). Handbook of the Birds of the World: Vol III, Hoatzin to Auks (Vol. 3). Barcelona: Lynx Edicions.",
"{del Hoyo, 1999 #233}",233,"del Hoyo, J., Elliott, A., & Sargatal, J. (Eds.). (1999). Handbook of the Birds of the World: Vol V,  Barn Owls to Hummingbirds (Vol. 5). Barcelona: Lynx Edicions.",
"{del Hoyo, 2001 #235}",235,"del Hoyo, J., Elliott, A., & Sargatal, J. (Eds.). (2001). Handbook of the Birds of the World: Vol VI, Mousebirds to Hornbills (Vol. 6). Barcelona: Lynx Edicions.",
"{del Hoyo, 2004 #230}",230,"del Hoyo, J., Elliott, A., & Christie, D. A. (Eds.). (2004). Handbook of the Birds of the World: Vol IX, Cotingas to Pipits and Wagtails (Vol. 9). Barcelona: Lynx Edicions.",
"{del Hoyo, 2005 #231}",231,"del Hoyo, J., Elliott, A., & Christie, D. A. (Eds.). (2005). Handbook of the Birds of the World: Vol X, Cuckooshrikes to Thrushes (Vol. 10). Barcelona: Lynx Edicions.",
"{del Hoyo, 2006 #227}",227,"del Hoyo, J., Elliott, A., & Christie, D. A. (Eds.). (2006). Handbook of the Birds of the World: Vol XI, Old World Flycatchers to Old World Warblers (Vol. 11). Barcelona: Lynx Edicions.",
"{del Hoyo, 2007 #229}",229,"del Hoyo, J., Elliott, A., & Christie, D. (Eds.). (2007). Handbook of the Birds of the World: Vol XII, Picathartes to Tits and Chickadees (Vol. 12). Barcelona: Lynx Edicions.",
"{del Hoyo, 2008 #232}",232,"del Hoyo, J., Elliott, A., & Christie, D. A. (Eds.). (2008). Handbook of the Birds of the World: Vol XIII, Penduline-tits to Shrikes (Vol. 13). Barcelona: Lynx Ediciones.",
"{del Hoyo, 2009 #228}",228,"del Hoyo, J., Elliott, A., & Christie, D. (Eds.). (2009). Handbook of the Birds of the World: Vol XIV, Bush-Shrikes to Old World Sparrows (Vol. 14). Barcelona: Lynx Ediciones.",
"{del Hoyo, 2010 #377}",377,"del Hoyo, J., Elliott, A., & Christie, D. (Eds.). (2010). Handbook of the Birds of the World: Vol XV, Weavers to New World Warblers (Vol. 15). Barcelona: Lynx Edicions.",
"{del Hoyo, 2011 #908}",908,"del Hoyo, J., Elliott, A., & Christie, D. A. (Eds.). (2011). Handbook of the Birds of the World: Vol XVI, Tanagers to New World Blackbirds (Vol. 16). Barcelona: Lynx Edicions.",
"{Delany, 1993 #452}",452,"Delany, S. (1993). Introduced and escaped geese in Britain in summer 1991. British Birds, 86(12), 591-599. ",
"{Delany, 1996 #122}",122,"Delany, S. (1996). Introduced and naturalised wildfowl in Britain. In J. S. Holmes & J. R. Simons (Eds.), The Introduction and Naturalisation of Birds. London: HMSO.",
"{Department of Primary Industries, 2010 #548}",548,"Department of Primary Industries, P., Water and Environment. (2010). Importing and keeping birds in Tasmania. Hobart, Tasmania: Department of Primary Industries, Parks, Water and Environment.",
"{DeSante, 1994 #414}",414,"DeSante, D. F., & George, T. L. (1994). Population Trends in the Landbirds of Western North America. Studies in Avian Biology, 15, 173-190. ",
"{Dhami, 2009 #544}",544,"Dhami, M. K., & Nagle, B. (2009). Review of the biology and ecology of the Common Myna (Acridotheres tristis) and some implications for management of this invasive species Pacific Invasives Initiative. Auckland: The University of Auckland.",
"{Dhondt, 1977 #545}",545,"Dhondt, A. A. (1977). Breeding and postnuptial molt of the red-vented bulbul in Western Samoa. The Condor, 79(2), 257-260. ",
